prerequisite_course,target_course,relation_context
COGS 107B,COGS 115,OR/complex
COGS 17,COGS 115,OR/complex
COGS 108,COGS 118A,OR/complex
COGS 109,COGS 118A,OR/complex
COGS 118B,COGS 118A,OR/complex
COGS 18,COGS 118A,OR/complex
CSE 11,COGS 118A,OR/complex
CSE 158,COGS 118A,OR/complex
CSE 8B,COGS 118A,OR/complex
ECE 174,COGS 118A,OR/complex
ECE 175A,COGS 118A,OR/complex
MATH 18,COGS 118A,OR/complex
MATH 180A,COGS 118A,OR/complex
MATH 20E,COGS 118A,OR/complex
MATH 31AH,COGS 118A,OR/complex
CSE 11,COGS 118B,OR/complex
CSE 8B,COGS 118B,OR/complex
MATH 18,COGS 118B,OR/complex
MATH 180A,COGS 118B,OR/complex
MATH 20E,COGS 118B,OR/complex
MATH 31AH,COGS 118B,OR/complex
COGS 108,COGS 118C,OR/complex
COGS 109,COGS 118C,OR/complex
COGS 14B,COGS 118C,OR/complex
MATH 18,COGS 118C,OR/complex
MATH 31AH,COGS 118C,OR/complex
PSYC 60,COGS 118C,OR/complex
MATH 18,COGS 118D,OR/complex
MATH 180A,COGS 118D,OR/complex
MATH 31AH,COGS 118D,OR/complex
COGS 14B,COGS 119,OR/complex
MATH 18,COGS 119,OR/complex
MATH 31AH,COGS 119,OR/complex
COGS 1,COGS 120,OR/complex
COGS 187A,COGS 120,OR/complex
CSE 11,COGS 120,OR/complex
CSE 8B,COGS 120,OR/complex
DSC 30,COGS 120,OR/complex
DSGN 1,COGS 120,OR/complex
COGS 120,COGS 121,OR/complex
CSE 11,COGS 121,OR/complex
CSE 8B,COGS 121,OR/complex
DSC 30,COGS 121,OR/complex
COGS 120,COGS 122,OR/complex
COGS 187A,COGS 122,OR/complex
COGS 187B,COGS 122,OR/complex
CSE 170,COGS 122,OR/complex
DSGN 100,COGS 122,OR/complex
COGS 102C,COGS 123,OR/complex
COGS 120,COGS 123,OR/complex
COGS 187A,COGS 123,OR/complex
COGS 187B,COGS 123,OR/complex
DSGN 1,COGS 123,OR/complex
COGS 120,COGS 124,AND
COGS 121,COGS 124,AND
COGS 120,COGS 125,OR/complex
CSE 11,COGS 125,OR/complex
CSE 170,COGS 125,OR/complex
COGS 120,COGS 126,OR/complex
COGS 121,COGS 126,OR/complex
CSE 170,COGS 126,OR/complex
COGS 1,COGS 127,OR/complex
COGS 187A,COGS 127,OR/complex
CSE 11,COGS 127,OR/complex
CSE 8B,COGS 127,OR/complex
DSC 30,COGS 127,OR/complex
DSGN 1,COGS 127,OR/complex
COGS 14A,COGS 14B,AND
COGS 1,COGS 152,OR/complex
PHIL 1,COGS 152,OR/complex
PSYC 1,COGS 152,OR/complex
COGS 101A,COGS 157,OR/complex
COGS 101B,COGS 157,OR/complex
COGS 101C,COGS 157,OR/complex
COGS 1,COGS 169,AND
BILD 12,COGS 170,OR/complex
COGS 17,COGS 170,OR/complex
COGS 107A,COGS 172,AND
COGS 101A,COGS 175,OR/complex
COGS 107A,COGS 175,OR/complex
COGS 107A,COGS 176,AND
COGS 107A,COGS 179,OR/complex
COGS 17,COGS 179,OR/complex
BILD 12,COGS 180,OR/complex
COGS 107B,COGS 180,OR/complex
COGS 108,COGS 180,OR/complex
COGS 109,COGS 180,OR/complex
COGS 18,COGS 180,OR/complex
CSE 11,COGS 180,OR/complex
CSE 8A,COGS 180,OR/complex
MATH 18,COGS 180,OR/complex
MATH 20B,COGS 180,OR/complex
MATH 31AH,COGS 180,OR/complex
PSYC 106,COGS 180,OR/complex
COGS 118A,COGS 181,OR/complex
COGS 118B,COGS 181,OR/complex
COGS 18,COGS 181,OR/complex
CSE 11,COGS 181,OR/complex
CSE 158,COGS 181,OR/complex
CSE 8B,COGS 181,OR/complex
ECE 174,COGS 181,OR/complex
ECE 175A,COGS 181,OR/complex
MATH 18,COGS 181,OR/complex
MATH 180A,COGS 181,OR/complex
MATH 20E,COGS 181,OR/complex
MATH 31AH,COGS 181,OR/complex
BILD 12,COGS 184,OR/complex
COGS 107A,COGS 184,OR/complex
COGS 107B,COGS 184,OR/complex
COGS 107C,COGS 184,OR/complex
COGS 17,COGS 184,OR/complex
COGS 118A,COGS 185,OR/complex
COGS 118B,COGS 185,OR/complex
COGS 10,COGS 187A,OR/complex
COGS 18,COGS 187A,OR/complex
CSE 11,COGS 187A,OR/complex
CSE 8A,COGS 187A,OR/complex
DSGN 1,COGS 187A,OR/complex
COGS 187A,COGS 187B,AND
COGS 109,COGS 188,OR/complex
COGS 118A,COGS 188,OR/complex
COGS 118B,COGS 188,OR/complex
COGS 108,COGS 189,OR/complex
COGS 109,COGS 189,OR/complex
COGS 118A,COGS 189,OR/complex
COGS 118B,COGS 189,OR/complex
COGS 190A,COGS 190B,AND
COGS 190B,COGS 190C,AND
COMM 10,COMM 100A,AND
COMM 10,COMM 100B,AND
COMM 10,COMM 100C,AND
COMM 10,COMM 101,AND
COMM 10,COMM 101D,AND
COMM 101,COMM 101D,AND
COMM 10,COMM 101E,AND
COMM 101,COMM 101E,AND
COMM 10,COMM 101K,AND
COMM 10,COMM 101M,AND
COMM 101,COMM 101M,AND
COMM 101,COMM 101N,AND
VIS 70N,COMM 101N,AND
COMM 10,COMM 102D,AND
COMM 101,COMM 102D,AND
VIS 70N,COMM 102D,AND
COMM 10,COMM 102M,AND
COMM 101,COMM 102M,AND
VIS 70N,COMM 102M,AND
COMM 10,COMM 102P,AND
COMM 101,COMM 102P,AND
VIS 70N,COMM 102P,AND
COMM 10,COMM 102T,AND
COMM 10,COMM 103D,AND
COMM 10,COMM 103E,AND
COMM 10,COMM 103F,AND
COMM 10,COMM 104D,AND
COMM 10,COMM 104E,AND
COMM 10,COMM 104F,AND
COMM 10,COMM 104G,AND
COMM 10,COMM 105G,AND
COMM 10,COMM 105M,AND
COMM 10,COMM 105P,AND
COMM 10,COMM 106A,AND
COMM 10,COMM 106C,AND
COMM 10,COMM 106F,AND
COMM 10,COMM 106G,AND
COMM 10,COMM 106I,AND
COMM 10,COMM 106T,AND
COMM 10,COMM 106V,AND
COMM 10,COMM 107,AND
COMM 10,COMM 108A,AND
COMM 10,COMM 108D,AND
COMM 10,COMM 108G,AND
COMM 10,COMM 109D,AND
COMM 10,COMM 109N,AND
COMM 10,COMM 109P,AND
COMM 10,COMM 110M,AND
COMM 10,COMM 110P,AND
COMM 10,COMM 110T,AND
COMM 10,COMM 111A,AND
COMM 10,COMM 111C,AND
COMM 10,COMM 111F,AND
COMM 10,COMM 111G,AND
COMM 10,COMM 111P,AND
COMM 10,COMM 111T,OR/complex
COMM 10,COMM 112C,AND
COMM 10,COMM 112G,AND
COMM 10,COMM 113T,AND
COMM 10,COMM 114C,AND
COMM 10,COMM 114D,AND
COMM 10,COMM 114E,OR/complex
